I apologize for the oversight in the numbering and continuity of the Short Answer questions in the previous response. Here is the complete and corrected list of 54 practice short answer questions, covering all necessary topics for your final exam.
Practice Short Answer Questions (54 Questions Total)
Topic 1: ML Introduction, Data, and Preprocessing (12 Questions)
ID
	Topic
	Step-wise feature selection typically starts by eliminating the worst attribute first.
	False
	Step-wise feature elimination involves repeatedly eliminating the worst attribute. Step-wise selection picks the best single attribute first.
	T/F 118
	Data Reduction
	Mapping data to a new space using techniques like Fourier or Wavelet transforms is considered a type of feature extraction methodology.
	True
	Mapping data to a new space is one of the three general methodologies for feature generation (Attribute extraction, Mapping data to new space, Attribute construction).
	T/F 119
	Data Reduction
	Dimensionality reduction is usually considered a task-dependent process, meaning it relies on a downstream task like classification.
	False
	Dimensionality reduction can be task dependent or task independent (retaining information of the original space without depending on a downstream task).
	T/F 120
	Sampling
	The goal of numerosity reduction is to reduce the number of features in the data representation.
	False
	Numerosity reduction reduces data volume by choosing alternative, smaller forms of data representation. Dimensionality reduction reduces the number of features.
	T/F 121
	Sampling
	Histograms, sampling, and Wavelets are considered data sketches—summaries of data, especially useful for data streams.
	True
	Wavelets, histograms and sampling are data sketches.
	T/F 122
	Sampling
	Simple random sampling without replacement means that once an object is selected for the sample, it is immediately placed back into the population and can be selected again.
	False
	Sampling without replacement means the object is removed from the population.
	T/F 123
	Sampling
	Stratified sampling is especially useful when dealing with skewed data to ensure proportional representation from every class or category.
	True
	Stratified sampling is used in conjunction with skewed data and ensures proportional representation.
	T/F 124
	Sampling
	Reservoir sampling is a technique used to obtain a simple random sample from a data stream where the full size N is unknown initially.
	True
	Reservoir sampling is designed for streaming data to achieve a uniformly random sample.
	T/F 125
	Sampling
	In Reservoir sampling, the probability of keeping the i-th item decreases as i increases.
	True
	When the reservoir is full, the data[i] is kept with probability M/i, where M is the reservoir size, hence the probability decreases as i increases.
	T/F 126
	Transformation
	The Fourier Transform expresses any signal as a combination of elementary signals, specifically sine and cosine waves.
	True
	Any signal can be expressed as a combination of elementary signals (sine and cosine wave) using the Fourier Transform.
	T/F 127
	Transformation
	The highest value in the Fourier domain corresponds to the shortest frequency present in the data.
